"file_id","sample_type","condition"
"a3a1a7b7-6109-4c9d-bb39-81d5d8a9c89f","Primary Tumor","Primary Tumor"
"f4d16cd8-479d-4984-87d6-7db8c1e421ab","Primary Tumor","Primary Tumor"
"4dbb7005-c218-434a-a462-6a7243edee12","Primary Tumor","Primary Tumor"
"b8ccb1a4-10c7-4b58-997a-d8bc30b0da5e","Primary Tumor","Primary Tumor"
"3b844b07-f24e-4135-b94a-5096e55c600e","Primary Tumor","Primary Tumor"
"09ace4e7-5c45-4492-b97c-46aa467820aa","Solid Tissue Normal","Solid Tissue Normal"
"9914a808-171b-494f-9e66-d5a3adec3d4c","Primary Tumor","Primary Tumor"
"f2ac5078-6abc-4e01-80d1-a0d723fe91af","Primary Tumor","Primary Tumor"
"04cfe993-afde-4e40-9cb1-d9c2415b16b6","Primary Tumor","Primary Tumor"
"2b696fa6-f248-4acc-93c0-9387591b75e7","Primary Tumor","Primary Tumor"
"d681c69f-3020-463b-90c0-bd9435e3f216","Primary Tumor","Primary Tumor"
"5af91b67-394a-4872-ad42-0f41e0998ad6","Primary Tumor","Primary Tumor"
"1a2097ac-6aef-4740-8076-1679365e1f4f","Primary Tumor","Primary Tumor"
"34933250-0d06-4072-b05f-99306e9ce476","Primary Tumor","Primary Tumor"
"dec82b4e-cb99-4b98-b2f6-7cdd64749cd0","Primary Tumor","Primary Tumor"
"ddcfa2c6-4647-4606-8b94-7ce79db9218e","Primary Tumor","Primary Tumor"
"4ef1bf1a-e6a4-4d0d-a84b-f0e742c09d8e","Primary Tumor","Primary Tumor"
"f139456f-3158-4ac4-8c60-454aa1c41861","Primary Tumor","Primary Tumor"
"23bc21ba-4d55-4f64-9bfb-8d0fc4c12c1a","Primary Tumor","Primary Tumor"
"730430cc-52a2-43c9-b919-549bb68eab69","Primary Tumor","Primary Tumor"
"7329ec19-7624-4c7c-9622-e6785ee4be09","Primary Tumor","Primary Tumor"
"0173d27e-ff23-42b2-afb9-9b867ace3efc","Primary Tumor","Primary Tumor"
"ee84d78c-72dd-4b1d-ac4b-402c9b19d3c2","Primary Tumor","Primary Tumor"
"ec09d84c-1112-4530-a320-a99043794fe3","Primary Tumor","Primary Tumor"
"1022aa8a-ff64-4756-b20f-43a12a53efc1","Primary Tumor","Primary Tumor"
"3b7583b0-9f6c-48d6-b3af-e19832bf2d9f","Primary Tumor","Primary Tumor"
"b16e4a88-6d23-479b-a68c-c4d7c3a16725","Primary Tumor","Primary Tumor"
"d6ffd7b8-7dd4-4342-8e0f-ccef57b16921","Primary Tumor","Primary Tumor"
"70a0fb72-e7ca-4fe5-8eed-7377dfc26b0c","Primary Tumor","Primary Tumor"
"1871694f-863b-4483-8157-8aa0ddfdda5e","Primary Tumor","Primary Tumor"
"9a8b5955-c2ed-485b-ac13-9042c1adf631","Primary Tumor","Primary Tumor"
"1d1d18b8-76d7-473e-bfc5-06d0a4f53a5d","Primary Tumor","Primary Tumor"
"cd925bc2-7870-4fbd-829e-8797bd839539","Primary Tumor","Primary Tumor"
"edc9e931-6c62-4e0e-9c68-b6891ba007ac","Primary Tumor","Primary Tumor"
"b9b73947-3920-4ef1-b6e9-c9481506face","Primary Tumor","Primary Tumor"
"10273809-ad79-4848-a896-03f0cefe6861","Primary Tumor","Primary Tumor"
"054d6883-9f0f-451e-a26d-cf0ff741afa4","Primary Tumor","Primary Tumor"
"5ce26b4c-f373-41f3-82a5-25917a1114b6","Primary Tumor","Primary Tumor"
"707a22be-e7f0-4d3e-91d4-deb6e30628c0","Primary Tumor","Primary Tumor"
"0e15a5e4-5022-4efb-aef9-006b58911d27","Primary Tumor","Primary Tumor"
"e793b2cf-64db-413d-a40f-f64b4c338a78","Primary Tumor","Primary Tumor"
"88d0452c-0693-4572-9bfd-bd856805c7e9","Primary Tumor","Primary Tumor"
"98fe188d-1922-4a7d-adc4-8dee37d92b4c","Primary Tumor","Primary Tumor"
"8753cc4b-0f5d-409a-a3b2-acf39fc7358b","Primary Tumor","Primary Tumor"
"9adf1983-85b9-4ef6-aff4-dea772ff91a2","Primary Tumor","Primary Tumor"
"835c40ea-a4e1-44fc-82cd-31e3ac16415f","Primary Tumor","Primary Tumor"
"9e73d394-b8e3-4ee2-bb35-a1fb43fd280f","Primary Tumor","Primary Tumor"
"e4c709ae-d1b7-4606-b671-a6d1c48b7c6a","Primary Tumor","Primary Tumor"
"ca69edd8-72d1-48f9-91e8-4ed748144c46","Primary Tumor","Primary Tumor"
